0.833333 0.833333 0.40326 0.111657
2.5 0.833333 0.671452 -1.17019
4.16667 0.833333 3.0764 -3.18445
5.83333 0.833333 0.724983 1.26608
7.5 0.833333 -0.678438 -1.56602
9.16667 0.833333 -1.28121 -0.329059
10.8333 0.833333 -0.194934 0.822321
12.5 0.833333 -0.335987 0.299399
14.1667 0.833333 -2.82345 -1.24098
15.8333 0.833333 2.75206 3.1716
17.5 0.833333 0.263405 0.409288
19.1667 0.833333 -1.20787 0.659154
20.8333 0.833333 1.10796 -2.11475
22.5 0.833333 -1.81213 0.066528
24.1667 0.833333 -0.792555 1.83996
0.833333 2.5 -3.49296 1.31994
2.5 2.5 0.704409 3.57676
4.16667 2.5 1.42022 1.44608
5.83333 2.5 -0.337668 -0.635366
7.5 2.5 0.0137341 0.0097529
9.16667 2.5 -0.540979 -3.23164
10.8333 2.5 -0.645473 0.214082
12.5 2.5 0.919413 3.33774
14.1667 2.5 2.11894 5.25154
15.8333 2.5 -2.51302 -1.4699
17.5 2.5 -1.10631 2.23184
19.1667 2.5 0.837769 -1.78425
20.8333 2.5 -1.81171 0.183155
22.5 2.5 1.79346 -2.09423
24.1667 2.5 -0.0976704 0.108177
0.833333 4.16667 -0.556792 -1.4926
2.5 4.16667 2.61117 -1.16086
4.16667 4.16667 0.235751 1.88862
5.83333 4.16667 0.197462 -1.18573
7.5 4.16667 0.196215 0.734891
9.16667 4.16667 2.06868 2.55785
10.8333 4.16667 -0.301611 0.710015
12.5 4.16667 -2.92254 2.13599
14.1667 4.16667 -2.32856 -1.34563
15.8333 4.16667 0.0314643 -0.921481
17.5 4.16667 0.0343937 1.95908
19.1667 4.16667 0.631618 2.2942
20.8333 4.16667 -1.18578 -1.73526
22.5 4.16667 1.34894 1.3452
24.1667 4.16667 -2.12394 0.376691
0.833333 5.83333 -0.507538 -0.91187
2.5 5.83333 -0.79244 0.456934
4.16667 5.83333 -1.11972 0.0850239
5.83333 5.83333 1.40711 -0.686466
7.5 5.83333 -1.38418 2.30553
9.16667 5.83333 0.299764 -0.334153
10.8333 5.83333 -0.278287 0.145551
12.5 5.83333 -1.01796 -0.787512
14.1667 5.83333 1.13958 0.34978
15.8333 5.83333 -0.417942 -0.170078
17.5 5.83333 1.58215 2.48654
19.1667 5.83333 1.344 0.284236
20.8333 5.83333 1.28866 2.97396
22.5 5.83333 0.288208 2.22156
24.1667 5.83333 0.160567 1.46283
0.833333 7.5 0.591013 -2.40334
2.5 7.5 1.01526 2.16354
4.16667 7.5 0.294157 2.99551
5.83333 7.5 -2.6065 -0.28721
7.5 7.5 -0.93318 1.80675
9.16667 7.5 -1.15434 1.54083
